Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: internal time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42011    0.134    0.000    0.147    0.000 SP/scipy/_lib/array_api_compat/common/_helpers.py:957(is_writeable_array)
    93285    0.133    0.000    0.283    0.000 {built-in method builtins.any}
359341/329631    0.131    0.000    0.299    0.000 {built-in method builtins.hash}
    54126    0.128    0.000    0.225    0.000 SP/scipy/_lib/array_api_compat/common/_helpers.py:217(is_jax_array)
    29226    0.128    0.000    0.183    0.000 PyAutoFit/autofit/messages/abstract.py:41(__init__)
    41913    0.125    0.000    0.280    0.000 {built-in method builtins.sorted}
    60247    0.124    0.000    0.183    0.000 SP/dynesty/utils.py:87(__gt__)
    40268    0.122    0.000    0.145    0.000 STDLIB/contextlib.py:104(__init__)
   262408    0.122    0.000    0.122    0.000 {method 'lower' of 'str' objects}
    64338    0.122    0.000    0.215    0.000 PyAutoNerves/autonerves/tools/decorators.py:29(cached_property_names)
   134732    0.121    0.000    0.190    0.000 SP/numpy/lib/_function_base_impl.py:339(iterable)
    62949    0.120    0.000    0.933    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1955(prior_count)
     6202    0.119    0.000    2.322    0.000 PyAutoFit/autofit/messages/truncated_normal.py:29(log_partition)
     8120    0.119    0.000    0.605    0.000 SP/scipy/_lib/array_api_extra/_lib/_funcs.py:146(_apply_where)
     1407    0.118    0.000    6.018    0.004 SP/matplotlib/axis.py:1276(_update_ticks)
   486888    0.118    0.000    0.118    0.000 {built-in method builtins.id}
96889/90249    0.115    0.000    0.979    0.000 {built-in method builtins.next}
     2340    0.112    0.000    0.112    0.000 PyAutoFit/autofit/non_linear/samples/samples.py:270(weight_list)
   157023    0.112    0.000    0.156    0.000 {built-in method builtins.setattr}
     1290    0.111    0.000    0.391    0.000 PyAutoFit/autofit/non_linear/samples/pdf.py:485(quantile)
    64220    0.111    0.000    0.616    0.000 PyAutoFit/autofit/mapper/prior_model/prior_model.py:478(is_deferred_arguments)
    82655    0.110    0.000    0.110    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3582    0.109    0.000    0.152    0.000 {built-in method _io.open}
    48222    0.108    0.000    0.246    0.000 SP/numpy/_core/_ufunc_config.py:440(__enter__)
    31199    0.108    0.000    0.124    0.000 {method '__reduce_ex__' of 'object' objects}
    15068    0.108    0.000    0.280    0.000 SP/numpy/_core/fromnumeric.py:41(_wrapit)
     8429    0.107    0.000    0.107    0.000 {method 'findall' of 're.Pattern' objects}
    98369    0.107    0.000    0.107    0.000 SP/matplotlib/transforms.py:109(__init__)
    78997    0.106    0.000    0.306    0.000 SP/scipy/_lib/array_api_compat/numpy/_aliases.py:97(astype)
    21776    0.105    0.000    0.187    0.000 SP/scipy/_lib/array_api_extra/_delegation.py:34(atleast_nd)
    22196    0.102    0.000    0.165    0.000 SP/matplotlib/_api/__init__.py:65(check_isinstance)
11013/10461    0.102    0.000    0.605    0.000 SP/matplotlib/axes/_base.py:887(_unstale_viewLim)
   1855/0    0.102    0.000    0.000          {built-in method builtins.exec}
    64326    0.100    0.000    0.465    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1742(tuple_prior_tuples)
     5645    0.099    0.000    0.180    0.000 SP/dynesty/bounding.py:1192(randsphere)
     8120    0.098    0.000    0.799    0.000 SP/scipy/_lib/array_api_extra/_lib/_funcs.py:60(apply_where)
     2030    0.098    0.000    1.023    0.001 SP/scipy/stats/_continuous_distns.py:10423(_truncnorm_stats_scalar)
    64220    0.098    0.000    0.116    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:193(check_assertions)
    46815    0.097    0.000    0.238    0.000 SP/numpy/_core/shape_base.py:21(atleast_1d)
     9661    0.097    0.000    0.155    0.000 SP/dynesty/utils.py:293(append)
     5724    0.096    0.000    0.573    0.000 SP/numpy/lib/_function_base_impl.py:415(average)
   209557    0.096    0.000    0.101    0.000 {built-in method builtins.min}
      120    0.096    0.001    0.180    0.002 PyAutoFit/autofit/non_linear/samples/sample.py:147(from_lists)
     5679    0.095    0.000    0.095    0.000 SP/dynesty/bounding.py:1175(logvol_prefactor)
    68896    0.095    0.000    0.095    0.000 {method 'get' of 'mappingproxy' objects}
    32644    0.095    0.000    0.796    0.000 PyAutoFit/autofit/mapper/prior_model/abstract.py:1533(log_prior_list_from_vector)
     1422    0.094    0.000    0.135    0.000 SP/numpy/_core/numeric.py:2337(isclose)
    24552    0.094    0.000    0.256    0.000 SP/matplotlib/transforms.py:1887(__init__)
111404/111224    0.094    0.000    0.095    0.000 {method 'update' of 'dict' objects}
    61119    0.093    0.000    0.274    0.000 PyAutoFit/autofit/non_linear/fitness.py:341(_is_jax)
   293313    0.093    0.000    0.093    0.000 PyAutoFit/autofit/mapper/prior_model/attribute_pair.py:16(__init__)
    62246    0.093    0.000    0.102    0.000 SP/scipy/_lib/array_api_compat/common/_helpers.py:72(_is_jax_zero_gradient_array)
    14253    0.092    0.000    0.153    0.000 SP/numpy/ma/core.py:3024(_update_from)
    83213    0.092    0.000    0.093    0.000 {method 'update' of 'set' objects}
   2986/4    0.091    0.000    3.048    0.762 SP/matplotlib/text.py:926(get_window_extent)
     3708    0.091    0.000    0.177    0.000 SP/matplotlib/transforms.py:2838(nonsingular)
     3210    0.089    0.000    0.090    0.000 {built-in method posix.listdir}
    82571    0.089    0.000    0.135    0.000 STDLIB/copy.py:231(_keep_alive)
3491/3389    0.089    0.000    1.385    0.000 {built-in method builtins.__build_class__}
    24546    0.089    0.000    0.203    0.000 SP/numpy/_core/numerictypes.py:471(issubdtype)
    41470    0.088    0.000    0.088    0.000 {method 'match' of 're.Pattern' objects}
    16354    0.088    0.000    0.108    0.000 {method 'writerow' of '_csv.writer' objects}
     3030    0.086    0.000    1.598    0.001 SP/dynesty/sampler.py:447(add_live_points)
    60990    0.086    0.000    0.086    0.000 {method 'split' of 'str' objects}
    20628    0.086    0.000    0.086    0.000 SP/scipy/stats/_continuous_distns.py:370(_norm_cdf)
    24125    0.085    0.000    0.201    0.000 SP/matplotlib/colors.py:278(to_rgba)
   225355    0.085    0.000    0.085    0.000 PyAutoFit/autofit/mapper/prior_model/attribute_pair.py:23(tuple)
    32884    0.085    0.000    0.560    0.000 SP/numpy/_core/fromnumeric.py:3052(max)
85858/85798    0.085    0.000    0.085    0.000 {method 'format' of 'str' objects}
    25482    0.084    0.000    0.137    0.000 SP/matplotlib/font_manager.py:1175(score_family)
 10826/11    0.084    0.000    6.492    0.590 SP/matplotlib/text.py:65(_get_text_metrics_with_cache)
   183532    0.083    0.000    0.083    0.000 {method 'values' of 'dict' objects}
