Thu Sep 24 14:49:27 2026    ep.prof

         51419624 function calls (50728443 primitive calls) in 109.119 seconds

   Ordered by: cumulative time
   List reduced from 10814 to 400 due to restriction <400>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.006    0.000    1.904    0.024 SP/PIL/PngImagePlugin.py:1304(_save)
      120    0.001    0.000    1.896    0.016 PyAutoFit/autofit/non_linear/samples/pdf.py:235(errors_at_sigma)
       78    0.002    0.000    1.890    0.024 SP/PIL/ImageFile.py:624(_save)
       78    0.002    0.000    1.886    0.024 SP/PIL/ImageFile.py:652(_encode_tile)
      620    0.003    0.000    1.881    0.003 SP/matplotlib/axis.py:534(__get__)
       80    1.866    0.023    1.866    0.023 {method 'encode' of 'ImagingEncoder' objects}
    61089    0.354    0.000    1.864    0.000 PyAutoFit/autofit/mapper/prior/_erf_helpers.py:35(truncated_normal_value_for)
    61119    1.025    0.000    1.818    0.000 PyAutoFit/autofit/non_linear/fitness.py:601(manage_quick_update)
      412    0.009    0.000    1.798    0.004 PyAutoFit/autofit/graphical/factor_graphs/factor.py:373(_jvp_func_jacobian)
       15    1.780    0.119    1.781    0.119 {built-in method gc.collect}
      400    0.030    0.000    1.747    0.004 SP/matplotlib/axis.py:1115(set_clip_path)
      455    0.002    0.000    1.737    0.004 PyAutoFit/autofit/graphical/laplace/line_search.py:216(derphi)
     1763    0.019    0.000    1.722    0.001 PyAutoFit/autofit/graphical/factor_graphs/abstract.py:267(_factor_args)
    33440    0.641    0.000    1.707    0.000 SP/scipy/cluster/vq.py:150(vq)
     1015    0.057    0.000    1.698    0.002 SP/scipy/stats/_distn_infrastructure.py:1148(stats)
      406    0.057    0.000    1.640    0.004 PyAutoFit/autofit/graphical/factor_graphs/abstract.py:270(_numerical_factor_jacobian)
2175963/2174688    0.828    0.000    1.618    0.000 {built-in method builtins.hasattr}
      255    0.005    0.000    1.609    0.006 PyAutoFit/autofit/graphical/expectation_propagation/ep_mean_field.py:266(mean_field)
    28517    0.355    0.000    1.608    0.000 SP/matplotlib/artist.py:1190(_update_props)
266403/3600    0.632    0.000    1.608    0.000 STDLIB/copy.py:118(deepcopy)
        1    0.000    0.000    1.601    1.601 SP/anesthetic/utils.py:1(<module>)
      357    0.012    0.000    1.601    0.004 PyAutoFit/autofit/graphical/mean_field.py:314(prod)
     3030    0.086    0.000    1.598    0.001 SP/dynesty/sampler.py:447(add_live_points)
     1571    0.034    0.000    1.594    0.001 PyAutoFit/autofit/graphical/declarative/factor/hierarchical.py:126(__call__)
      480    0.049    0.000    1.528    0.003 SP/dynesty/sampler.py:228(results)
    12016    0.247    0.000    1.523    0.000 SP/scipy/_lib/_util.py:1149(wrapper)
    42011    0.080    0.000    1.517    0.000 SP/scipy/_lib/array_api_extra/_lib/_at.py:362(set)
     1015    0.023    0.000    1.516    0.001 SP/scipy/stats/_continuous_distns.py:10420(_stats)
     2790    0.034    0.000    1.497    0.001 SP/matplotlib/ticker.py:2228(__call__)
    20658    0.221    0.000    1.485    0.000 SP/scipy/stats/_distn_infrastructure.py:612(argsreduce)
   109486    0.427    0.000    1.471    0.000 SP/numpy/_core/fromnumeric.py:69(_wrapreduction)
     4358    0.200    0.000    1.459    0.000 SP/matplotlib/lines.py:301(__init__)
      240    0.001    0.000    1.442    0.006 SP/matplotlib/pyplot.py:2782(gca)
14356/6142    0.159    0.000    1.442    0.000 STDLIB/copy.py:217(_deepcopy_dict)
    42011    0.638    0.000    1.437    0.000 SP/scipy/_lib/array_api_extra/_lib/_at.py:224(_op)
     1947    0.015    0.000    1.394    0.001 PyAutoFit/autofit/graphical/utils.py:493(prod)
        1    0.000    0.000    1.389    1.389 SP/pandas/__init__.py:1(<module>)
3491/3389    0.089    0.000    1.385    0.000 {built-in method builtins.__build_class__}
    24566    0.035    0.000    1.362    0.000 SP/matplotlib/artist.py:1228(_internal_update)
      240    0.001    0.000    1.361    0.006 SP/matplotlib/figure.py:1715(gca)
   153968    0.338    0.000    1.358    0.000 SP/numpy/_core/fromnumeric.py:51(_wrapfunc)
    19483    0.040    0.000    1.351    0.000 SP/matplotlib/artist.py:146(<lambda>)
     5938    0.277    0.000    1.332    0.000 SP/dynesty/bounding.py:1215(improve_covar_mat)
1275694/1274269    0.831    0.000    1.329    0.000 {built-in method builtins.getattr}
     2148    0.052    0.000    1.313    0.001 {built-in method _functools.reduce}
    19483    0.050    0.000    1.310    0.000 SP/matplotlib/artist.py:1239(set)
